org,repo,github_url,ai_adoption_date,repo_type
anthropics,axt-verify,https://github.com/anthropics/axt-verify,,side
anthropics,beam,https://github.com/anthropics/beam,,side
anthropics,blobfile,https://github.com/anthropics/blobfile,,side
anthropics,buffa,https://github.com/anthropics/buffa,2026-03-07,side
anthropics,cargo-nix-plugin,https://github.com/anthropics/cargo-nix-plugin,,side
anthropics,cfaulthandler,https://github.com/anthropics/cfaulthandler,,side
anthropics,claude-agent-sdk-demos,https://github.com/anthropics/claude-agent-sdk-demos,,side
anthropics,claude-agent-sdk-python,https://github.com/anthropics/claude-agent-sdk-python,2025-07-20,side
anthropics,claude-agent-sdk-typescript,https://github.com/anthropics/claude-agent-sdk-typescript,2025-10-06,side
anthropics,claude-ai-mcp,https://github.com/anthropics/claude-ai-mcp,,side
anthropics,claude-code-action,https://github.com/anthropics/claude-code-action,2025-05-19,side
anthropics,claude-code-base-action,https://github.com/anthropics/claude-code-base-action,2025-05-19,side
anthropics,claude-code-monitoring-guide,https://github.com/anthropics/claude-code-monitoring-guide,,side
anthropics,claude-code-security-review,https://github.com/anthropics/claude-code-security-review,2025-08-06,side
anthropics,claude-code,https://github.com/anthropics/claude-code,2025-07-29,main
anthropics,claude-constitution,https://github.com/anthropics/claude-constitution,,side
anthropics,claude-cookbooks,https://github.com/anthropics/claude-cookbooks,2025-09-08,side
anthropics,claude-desktop-buddy,https://github.com/anthropics/claude-desktop-buddy,,side
anthropics,claude-for-financial-advisors,https://github.com/anthropics/claude-for-financial-advisors,,side
anthropics,claude-for-legal,https://github.com/anthropics/claude-for-legal,2026-05-15,side
anthropics,claude-plugins-community,https://github.com/anthropics/claude-plugins-community,,side
anthropics,claude-plugins-official,https://github.com/anthropics/claude-plugins-official,,side
anthropics,claude-quickstarts,https://github.com/anthropics/claude-quickstarts,2025-02-24,side
anthropics,claude-tag-plugins,https://github.com/anthropics/claude-tag-plugins,,side
anthropics,claude-tag-wif-gateway-sample,https://github.com/anthropics/claude-tag-wif-gateway-sample,,side
anthropics,ClaudeForFoundationModels,https://github.com/anthropics/ClaudeForFoundationModels,,side
anthropics,claudes-c-compiler,https://github.com/anthropics/claudes-c-compiler,,side
anthropics,code-migration-kit-with-claude-code,https://github.com/anthropics/code-migration-kit-with-claude-code,2026-07-08,side
anthropics,commerce-agents,https://github.com/anthropics/commerce-agents,2026-08-31,side
anthropics,ConstitutionalHarmlessnessPaper,https://github.com/anthropics/ConstitutionalHarmlessnessPaper,,side
anthropics,courses,https://github.com/anthropics/courses,,side
anthropics,cryptography-research-demo,https://github.com/anthropics/cryptography-research-demo,,side
anthropics,cwc-long-running-agents,https://github.com/anthropics/cwc-long-running-agents,,side
anthropics,cwc-workshops,https://github.com/anthropics/cwc-workshops,,side
anthropics,DecompositionFaithfulnessPaper,https://github.com/anthropics/DecompositionFaithfulnessPaper,,side
anthropics,defending-code-reference-harness,https://github.com/anthropics/defending-code-reference-harness,2026-05-22,side
anthropics,devcontainer-features,https://github.com/anthropics/devcontainer-features,,side
anthropics,evals,https://github.com/anthropics/evals,,side
anthropics,fermats-last-theorem,https://github.com/anthropics/fermats-last-theorem,,side
anthropics,financial-services,https://github.com/anthropics/financial-services,2026-02-23,side
anthropics,formal-math,https://github.com/anthropics/formal-math,,side
anthropics,github-mcp-server,https://github.com/anthropics/github-mcp-server,,side
anthropics,headvis,https://github.com/anthropics/headvis,,side
anthropics,healthcare,https://github.com/anthropics/healthcare,,side
anthropics,hh-rlhf,https://github.com/anthropics/hh-rlhf,,side
anthropics,homebrew-claude,https://github.com/anthropics/homebrew-claude,,side
anthropics,homebrew-tap,https://github.com/anthropics/homebrew-tap,,side
anthropics,html-effectiveness,https://github.com/anthropics/html-effectiveness,,side
anthropics,httpcore,https://github.com/anthropics/httpcore,,side
anthropics,hypercorn,https://github.com/anthropics/hypercorn,,side
anthropics,jacobian-lens,https://github.com/anthropics/jacobian-lens,,side
anthropics,k12-teacher-skills,https://github.com/anthropics/k12-teacher-skills,,side
anthropics,knowledge-work-plugins,https://github.com/anthropics/knowledge-work-plugins,,side
anthropics,launch-your-agent,https://github.com/anthropics/launch-your-agent,2026-06-17,side
anthropics,leptos-chartistry,https://github.com/anthropics/leptos-chartistry,,side
anthropics,life-sciences,https://github.com/anthropics/life-sciences,,side
anthropics,maestro,https://github.com/anthropics/maestro,,side
anthropics,mockturtle,https://github.com/anthropics/mockturtle,,side
